Memory_benchmark,GPU_benchmark,benchmark
49.99,38.6,7703
49.99,38.6,7703
17,14.7,8174
17,9.7,7563
49.99,27.5,6906
17,14.7,6542
49.99,38.6,7703
49.99,35.5,6959
49.99,28.8,6959
49.99,19.8,6959
17,3.7,3658
49.99,26.6,6906
49.99,35.5,6959
49.99,35.5,6959
49.99,35.5,6959
39.99,2.8,2305
49.99,35.5,6959
89.98,6.9,7004
49.99,35.5,6959
49.99,38.6,7703
49.99,38.6,6959
28,19.8,6959
89.98,6.9,7169
49.99,35.5,6959
22.99,3.9,3651
49.99,35.5,7703
49.99,35.5,6542
49.99,35.5,7703
89.98,44.8,7337
49.99,38.6,6906
22.99,3.9,3651
49.99,35.5,6959
49.99,38.6,6906
49.99,26.6,6906
49.99,35.5,7703
99.98,6.9,6959
49.99,35.5,6959
22.99,3.9,3651
49.99,35.5,6906
28,19.8,6542
28,9.7,6959
22.99,3.9,3651
21.99,3.5,3504
28,19.8,6959
49.99,35.5,6959
22.99,3.9,3651
22.99,3.9,3658
22.99,3.9,3651
28,19.8,6959
49.99,35.5,6959
49.99,35.5,6959
69.98,4.4,5940
22.99,3.9,3651
39.99,3.5,3504
28,19.8,6959
22.99,3.9,3651
17,14.7,7169
49.99,35.5,6959
49.99,35.5,6959
69.98,4.4,5940
4.99,4.2,3658
22.99,3.5,3504
49.99,35.5,6959
17,14.7,6959
49.99,35.5,6959
99.98,6.9,6959
28,9.7,6959
49.99,26.6,6948
28,9.7,6959
22.99,3.9,3651
17,9.7,6948
49.99,35.5,6542
49.99,26.6,6906
22.99,3.5,3276
17,10.6,6948
22.99,3.9,3414
49.99,35.5,6542
28,19.8,6959
28,19.8,6959
49.99,26.6,6542
22.99,3.9,5940
22.99,3.9,3651
22.99,3.5,3504
22.99,3.5,3276
49.99,26.6,6542
22.99,3.9,3651
22.99,3.9,3414
49.99,35.5,6959
22.99,3.9,3651
10.99,9.3,4689
49.99,35.5,6959
89.98,5.2,6948
49.99,35.5,6959
89.98,5.2,6542
109.99,3.5,3276
22.99,3.9,3651
58.98,23.6,14665
49.99,12.6,6906
22.99,3.3,2633
22.99,3.5,3276
22.99,3.5,3276
49.99,12.6,6542
49.99,26.6,6542
72.98,6.9,6948
49.99,35.5,6959
21.99,3.5,3261
49.99,35.5,6959
69.98,4.4,5940
22.99,3.9,3651
39.99,3.5,3504
28,19.8,6959
17,14.7,7169
22.99,3.9,3651
17,14.7,6959
28,19.8,5116
17,3.5,3504
22.99,3.9,3651
22.99,3.9,3651
49.99,19.8,6959
28,19.8,6959
22.99,3.5,3504
49.99,35.5,6959
28,9.7,6959
22.99,3.9,3651
39.99,2.8,2305
22.99,3.3,2633
49.99,35.5,6959
69.98,4.4,5940
17,10.6,7004
28,13,6959
17,10.6,6948
22.99,3.9,3658
69.98,4.2,3504
22.99,3.9,3651
22.99,3.5,3276
39.99,2.8,2305
22.99,3.9,3414
39.99,3.5,3504
22.99,6,62317
22.99,3.9,3651
22.99,3.9,3651
49.99,19.8,6959
69.98,4.4,5940
49.99,19.8,6542
10.99,4.2,6959
28,19.8,6542
49.99,19.8,6542
99.98,6.9,6959
39.99,2.8,2305
17,6.9,6959
10.99,4.2,6959
49.99,12.6,6542
22.99,3.9,3651
39.99,3.5,3261
28,9.7,6959
28,9.7,6959
28,19.8,6959
89.98,5.2,6542
22.99,3.9,3651
22.99,3.3,2771
22.99,3.3,2633
22.99,3.5,3261
28,19.8,6959
28,19.8,6959
109.99,3.5,3276
39.99,3.5,3276
22.99,3.9,3414
22.99,3.9,3651
39.99,3.5,3276
69.98,4.4,5942
22.99,4.4,5940
22.99,3.9,3651
99.98,6.9,5513
22.99,3.9,3658
22.99,3.9,3651
39.99,3.5,3504
17,3.7,3276
22.99,4.4,5940
69.98,4.4,5940
4.99,4.2,3651
28,19.8,6959
69.98,4.4,5942
28,9.7,6959
22.99,3.9,3414
28,9.7,6959
45.49,19.8,6542
22.99,3.3,2771
28,13,6959
28,19.8,6959
28,19.8,6959
49.99,26.6,6959
28,19.8,6542
18.99,4.5,3651
22.99,3.9,3651
7.99,4.2,3651
49.99,6.4,3651
22.99,3.5,3504
22.99,5.4,3428
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,3651
22.99,3.9,3651
14.99,10.6,6959
22.99,3.9,3658
28,19.8,5116
49.99,12.6,6542
69.98,4.2,3504
56.99,10.6,6959
22.99,3.9,3738
22.99,3.9,3651
22.99,3.9,3651
58.98,23.6,6959
28,13,6959
28,19.8,6959
49.99,19.8,6959
28,9.7,5116
22.99,3.9,3658
22.99,3.9,3651
22.99,3.9,3651
39.99,3.5,3276
89.98,6.9,6959
22.99,3.9,3651
149.98,3.5,3504
22.99,3.5,3276
22.99,3.5,3261
22.99,3.9,3414
28,9.7,6959
28,9.7,6959
28,19.8,6959
22.99,3.9,3651
39.99,2.8,2131
58.98,23.6,12322
22.99,3.9,3658
22.99,3.5,3027
39.99,3.5,3276
28,13,6959
39.99,3.5,3504
22.99,3.9,3414
22.99,3.9,3414
22.99,3.5,3276
39.99,3.5,3027
28,19.8,6959
22.99,3.9,3738
22.99,3.9,3651
22.99,3.5,3276
22.99,4.4,5940
28,19.8,5116
22.99,3.9,3651
22.99,3.3,2633
22.99,3.9,3414
22.99,3.5,3027
22.99,4.4,5942
22.99,3.5,3261
22.99,3.9,3414
69.98,4.4,6390
28,13,6959
28,13,6959
49.99,19.8,6959
49.99,9.7,6542
69.98,4.4,5942
69.98,4.4,5942
22.99,3.9,3651
22.99,3.5,3027
49.99,19.8,6959
28,13,6959
22.99,3.9,3414
109.99,3.5,3027
22.99,3.9,3651
69.98,4.4,5940
39.99,3.5,3027
22.99,3.5,3027
89.98,5.2,6542
22.99,3.9,3414
22.99,3.3,2850
58.98,23.6,14665
69.98,6.5,5940
49.99,26.6,6906
22.99,3.9,3414
72.98,4.9,3658
22.99,3.9,3414
39.99,3.5,3261
22.99,3.9,7169
28,9.7,6959
22.99,3.5,3504
22.99,3.5,3027
49.99,9.3,6542
22.99,3.3,62317
49.99,13,6959
39.99,3.5,3276
28,19.8,6959
28,19.8,6959
22.99,4.4,5942
69.98,4.4,5940
69.98,4.4,5940
22.99,3.9,3651
22.99,3.9,3651
22.99,3.5,3504
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,3414
22.99,3.5,3276
22.99,3.5,3276
22.99,3.5,3276
28,9.7,6959
28,13,6959
49.99,6.5,5940
39.99,3.6,3276
28,13,6959
109.99,3.5,3027
39.99,3.5,3504
28,19.8,6959
22.99,3.9,3651
22.99,3.9,3651
28,13,6959
22.99,3.9,3651
49.99,19.8,6542
22.99,3.9,3414
22.99,4.5,5116
21.99,3.5,3027
4.99,4.2,3651
39.99,3.5,3276
39.99,3.5,3027
39.99,3.5,3027
22.99,3.9,3651
69.98,4.4,5942
28,19.8,6959
69.98,4.4,5940
109.99,3.5,3504
22.99,3.9,3414
22.99,4.5,7169
22.99,3.9,3738
22.99,3.9,3738
69.98,4.2,3276
22.99,5.4,62317
22.99,3.5,3027
28,19.8,6959
28,9.7,6959
69.98,4.2,3276
89.98,6.5,5940
28,19.8,6959
22.99,4.4,5942
69.98,4.4,5940
49.99,9.7,4689
22.99,3.9,3651
22.99,3.9,3651
22.99,3.9,3414
39.99,3.5,3276
39.99,2.8,2305
22.99,4.4,5942
28,19.8,6959
18.99,4.5,5940
22.99,3.9,3414
22.99,3.9,3738
22.99,3.9,3651
22.99,3.9,3651
28,9.7,6959
22.99,3.9,5513
28,9.7,5116
72.98,4.9,3658
22.99,3.9,3414
39.99,3.5,3276
22.99,3.9,3414
28,9.7,6959
28,13,6959
28,13,6959
28,13,6959
22.99,3.9,3651
22.99,3.9,3651
22.99,3.9,3414
149.98,3.5,3276
109.99,3.5,3027
28,13,6959
22.99,3.9,3414
22.99,3.9,3414
39.99,3.5,3027
49.99,19.8,6959
49.99,9.3,6542
22.99,3.9,3651
22.99,3.9,3651
49.99,12.6,6542
28,9.7,6959
22.99,3.9,3651
22.99,3.9,5942
49.99,9.3,6542
49.99,22.1,6542
22.99,3.9,3651
39.99,2.8,62317
58.98,23.6,14665
22.99,4.5,6959
28,13,6959
28,19.8,6959
22.99,3.8,6542
18.99,4.5,5940
28,13,5116
22.99,3.9,3651
22.99,3.9,3651
49.99,9.3,3651
39.99,2.8,2305
22.99,4.4,6390
28,9.7,6959
22.99,3.9,3651
69.98,4.4,5940
22.99,3.9,3414
22.99,3.9,3414
72.98,4.9,3651
22.99,3.5,3276
22.99,3.9,3738
39.99,2.8,62317
49.99,26.6,6906
69.98,4.4,5940
22.99,3.3,2850
49.99,9.3,6542
49.99,4.9,5940
49.99,9.7,6542
22.99,3.9,3738
39.99,3.5,3276
28,13,6959
22.99,3.9,3414
22.99,3.3,62317
4.99,4.2,5940
49.99,6.5,5940
28,9.7,6959
22.99,3.9,3414
28,9.7,6959
28,9.7,6959
28,13,6959
39.99,3.5,3027
58.98,9.7,5940
49.99,9.3,6542
39.99,3.5,3261
109.99,3.5,3276
22.99,3.9,3651
18.99,4.5,5940
22.99,3.9,3651
58.98,9.7,5940
39.99,3.5,3027
109.99,3.5,3027
4.99,4.2,3651
22.99,3.9,5513
22.99,3.9,3414
72.98,4.9,3651
28,9.7,6959
28,13,6959
28,13,6959
28,13,6959
49.99,6.5,5942
28,9.7,5116
22.99,3.9,3414
22.99,5.4,3180
22.99,3.5,3027
22.99,3.5,3027
22.99,3.5,3027
22.99,4.4,5940
49.99,22.1,6542
28,19.8,5116
39.99,3.5,3027
109.99,3.5,3027
109.99,3.5,3027
49.99,4.2,3651
28,9.7,6959
28,13,6959
28,9.7,6959
39.99,3.5,4689
45.49,19.8,6959
22.99,3.9,3414
22.99,3.9,3414
28,9.7,6959
39.99,3.5,3027
49.99,4.9,3651
58.98,3.8,3651
39.99,3.5,3027
28,13,6959
72.98,4.9,5513
22.99,3.9,3738
22.99,3.9,3651
28,13,6959
49.99,19.8,6542
49.99,9.3,6542
28,9.7,6959
22.99,3.5,2639
22.99,2.1,62317
39.99,3.5,3027
22.99,2.1,62317
28,13,6959
69.98,4.4,5940
39.99,2.8,2305
22.99,3.9,62317
22.99,3.9,3414
28,9.7,6959
28,19.8,6959
69.98,4.4,5942
22.99,3.9,3651
22.99,3.9,3414
39.99,3.5,3027
22.99,3.3,2633
69.98,6.5,5940
22.99,3.9,3651
58.98,9.7,5942
22.99,3.9,3414
28,9.7,6959
4.99,4.2,5942
18.99,4.5,5940
18.99,4.5,5940
22.99,3.5,2639
18.99,4.5,5940
22.99,3.9,3414
4.99,4.2,5940
28,13,6959
49.99,19.8,4689
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,3738
28,9.7,5116
49.99,6.5,3651
22.99,3.9,3414
39.99,3.5,3027
4.99,4.2,5940
22.99,3.9,3414
58.98,9.7,5942
28,9.7,6959
39.99,3.5,3027
22.99,4.4,5940
109.99,3.5,3261
22.99,3.5,3027
22.99,3.9,62317
28,9.7,6959
28,9.7,6959
49.99,9.3,6542
18.99,4.5,5940
22.99,4.4,5940
28,9.7,5116
22.99,3.9,3658
10.99,4.2,3651
22.99,3.9,3414
4.99,4.2,3414
58.98,3.7,3276
22.99,3.5,3261
39.99,3.5,3027
22.99,4.5,3651
22.99,4.4,5942
39.99,3.5,3027
28,9.7,5116
39.99,3.5,3027
22.99,3.9,3651
22.99,3.9,3414
22.99,3.9,3651
22.99,3.9,3414
72.98,4.9,5513
28,9.7,5116
22.99,3.9,3414
18.99,4.5,5942
18.99,4.5,5940
22.99,4.4,5940
22.99,3.9,5334
49.99,4.9,3414
28,13,6959
22.99,3.9,3651
22.99,3.5,3027
22.99,3.9,3651
22.99,3.9,3414
21.99,3.5,3261
28,9.7,6959
22.99,3.9,3414
89.98,6.5,5940
22.99,3.9,3414
4.99,4.2,3651
21.99,3.5,3027
49.99,4.9,3414
69.98,4.4,5942
4.99,4.2,5942
18.99,4.5,5940
22.99,4.4,5940
22.99,3.9,3651
28,9.7,6959
109.99,3.5,3261
49.99,4.9,5940
69.98,4.2,3276
28,9.7,6959
22.99,3.9,3414
72.98,4.9,5940
22.99,3.5,3027
49.99,9.3,6542
22.99,3.5,3276
28,9.7,5116
49.99,4.2,3027
39.99,3.5,3027
49.99,4.9,3651
49.99,4.9,5940
28,9.7,5116
4.99,4.2,3414
22.99,3.9,3414
22.99,3.9,3651
4.99,4.2,3651
49.99,6.4,3414
22.99,3.9,3738
39.99,3.5,3027
21.99,3.5,3027
49.99,6.5,3414
28,9.7,6959
28,9.7,6959
69.98,4.4,5942
69.98,6.5,5942
28,9.7,5116
28,9.7,5116
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,62317
49.99,9.7,6542
28,9.7,5116
22.99,3.9,3414
58.98,3.8,3651
22.99,3.3,5257
49.99,19.8,5116
22.99,3.3,2771
22.99,4.4,5940
18.99,4.5,5940
28,9.7,5116
22.99,3.9,3414
28,13,6959
18.99,4.5,5942
22.99,4.4,5942
18.99,4.5,5940
4.99,4.2,3651
22.99,3.9,3414
49.99,4.9,3414
45.98,4.9,5942
49.99,6.4,4689
4.99,4.2,3414
22.99,3.9,3414
22.99,3.9,3414
18.99,4.5,5940
10.99,4.2,3651
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,62317
69.98,4.4,5942
22.99,3.9,3738
58.98,3.5,3414
18.99,4.5,5940
22.99,3.9,3414
89.98,6.5,5940
18.99,4.5,88338
28,9.7,6959
28,13,6959
69.98,4.4,5942
28,9.7,5116
4.99,4.2,3651
22.99,3.9,3414
22.99,3.9,2715
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,3414
22.99,4.4,5942
22.99,3.5,3027
28,9.7,5116
22.99,3.9,3414
22.99,3.9,3738
4.99,4.2,3027
39.99,3.5,3027
18.99,4.5,5940
28,13,6959
22.99,4.4,5942
22.99,3.9,3414
72.98,4.9,5942
18.99,4.5,5940
58.98,3.9,3414
109.99,3.5,3027
72.98,4.9,5942
4.99,4.2,3414
22.99,3.9,3414
50.99,4.9,3414
39.99,3.5,3027
49.99,9.3,6542
28,9.7,5116
69.98,4.4,5940
22.99,3.9,3414
50.99,4.9,3651
18.99,4.5,88338
28,9.7,6959
28,9.7,6959
49.99,9.3,6542
49.99,9.3,6542
49.99,9.3,6542
69.98,4.4,5942
58.98,3.8,3651
58.98,3.8,3651
69.98,5.3,3651
22.99,3.9,3414
22.99,3.9,62317
69.98,4.4,5940
45.98,4.9,5942
10.99,4.2,3651
58.98,2.8,3276
49.99,6.4,3414
18.99,4.5,5942
49.99,6.4,3651
58.98,3.8,3414
22.99,3.9,3414
72.98,4.9,3414
22.99,4.4,5940
22.99,3.9,3414
69.98,4.4,5940
49.99,9.3,6542
28,9.7,6959
22.99,4.4,5942
49.99,4.9,5942
28,9.7,5116
22.99,3.9,3414
18.99,4.5,5940
69.98,4.4,5940
28,9.7,6959
22.99,3.9,3738
22.99,3.5,3027
58.98,3.8,3651
22.99,3.9,5942
22.99,3.9,3414
58.98,3.8,3651
4.99,4.2,3651
4.99,4.2,3651
22.99,3.9,3414
69.98,5.3,3414
22.99,4.4,5940
49.99,6.5,5942
22.99,3.9,3414
22.99,3.9,3651
89.98,6.5,5940
39.99,3.5,2275
22.99,4.4,5942
21.99,3.5,3276
49.99,4.9,3414
28,9.7,6959
28,9.7,5116
18.99,4.5,5942
49.99,6.5,5940
69.98,4.4,5940
28,9.7,5116
4.99,4.2,3651
28,9.7,3651
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,3414
22.99,3.5,3027
4.99,4.2,3651
69.98,3.6,3651
22.99,3.9,3414
69.98,4.4,5942
28,9.7,5116
22.99,3.9,3414
22.99,3.5,3276
22.99,4.4,5942
69.98,4.4,5940
28,9.7,5116
28,9.7,5116
4.99,4.2,3414
18.99,4.5,5942
58.98,3.1,3414
22.99,4.4,5942
69.98,4.2,3276
22.99,3.9,3414
28,9.7,5116
22.99,3.9,3414
58.98,3.1,3651
58.98,3.1,3651
58.98,3.1,3651
49.99,6.5,5942
18.99,4.5,5942
22.99,3.9,2715
49.99,9.3,6542
69.98,4.4,5942
58.98,3.5,3651
69.98,5.3,3651
22.99,3.9,3414
49.99,6.4,3414
21.99,3.5,3276
28,9.7,5116
18.99,4.5,5942
109.99,3.5,2639
22.99,3.9,3414
69.98,4.4,5942
22.99,3.9,3414
39.99,3.5,3276
49.99,9.3,4689
4.99,4.2,3651
58.98,2.8,3027
49.99,4.9,3651
22.99,3.9,3414
58.98,3.8,3414
39.99,3.5,3027
28,9.7,6959
28,9.7,5116
22.99,3.9,3651
22.99,3.9,3414
58.98,3.8,3651
18.99,4.5,5942
39.99,2.1,40872
22.99,4.4,5942
22.99,3.9,2715
69.98,5.3,3414
22.99,3.9,2715
58.98,2.8,3276
58.98,2.8,3276
58.98,2.8,3276
18.99,4.5,5942
39.99,3.5,3027
22.99,4.4,5942
22.99,3.9,3651
22.99,3.9,3414
58.98,3.1,3651
18.99,4.5,5942
58.98,3.8,3651
22.99,3.9,3414
49.99,4.5,5940
18.99,4.5,3651
58.98,3.1,3651
39.99,2.1,40872
4.99,4.2,3651
22.99,3.9,3414
39.99,3.5,2639
69.98,4.4,5942
39.99,3.5,3414
22.99,3.9,3414
22.99,3.5,3027
39.99,3.5,2275
15.99,3.7,5940
22.99,3.9,2715
39.99,3.5,3027
39.99,2.8,2003
39.99,2.8,2003
39.99,2.8,2003
10,3.7,5942
69.98,4.4,5942
22.99,3.9,3414
22.99,3.9,5942
22.99,4.4,5942
69.98,3.6,3276
69.98,3.6,3276
69.98,3.6,3276
18.99,4.5,5942
18.99,4.5,3651
49.99,4.2,3414
22.99,3.9,2715
49.99,4.9,2715
22.99,3.9,3414
22.99,3.9,3651
28,9.7,5116
4.99,4.2,3651
22.99,3.9,3414
22.99,3.9,2715
21.99,3.5,2639
49.99,4.5,2984
49.99,4.2,5940
10,3.7,3414
22.99,3.9,3414
22.99,3.9,3414
4.99,4.2,2715
58.98,3.7,2275
89.98,6.5,5942
69.98,5.3,3414
49.99,4.5,5942
4.99,4.2,3414
22.99,3.9,3414
49.99,6.5,5940
18.99,4.5,3651
39.99,3.5,3027
39.99,3.5,2275
39.99,3.5,2275
22.99,3.9,5942
69.98,5.3,3651
22.99,3.9,2715
22.99,3.9,3414
22.99,3.9,2715
22.99,4.4,5942
22.99,3.5,3276
10,3.7,5942
18.99,3.7,5942
69.98,4.4,5942
4.99,4.2,3276
22.99,3.9,2715
39.99,2.8,2003
22.99,3.9,2715
39.99,3.5,2275
18.99,4.5,5942
4.99,4.2,3651
58.98,7.7,88338
69.98,4.4,5942
22.99,3.9,5940
22.99,3.9,3651
49.99,4.2,3414
58.98,2.8,3027
58.98,3.8,2275
22.99,3.9,3414
18.99,4.5,88338
39.99,3.5,3027
49.99,4.5,2984
18.99,3.7,88338
22.99,3.5,2639
18.99,4.5,88338
22.99,3.9,3414
49.99,4.1,3414
39.99,3.5,3027
79.98,3.5,3027
22.99,3.9,2715
39.99,1.1,1190
39.99,3.5,2275
22.99,3.9,3414
4.99,4.2,3651
58.98,3.1,3414
22.99,3.9,3414
58.98,3.8,3414
58.98,3.8,3414
22.99,3.5,3276
22.99,3.5,3276
22.99,3.5,3276
22.99,3.9,2715
22.99,3.9,2984
58.98,2.9,88338
22.99,3.9,3651
4.99,4.2,3414
69.98,5.3,3276
22.99,3.9,2715
4.99,4.2,2275
22.99,3.9,3414
10,3.7,5942
22.99,3.9,3414
22.99,3.9,2715
18.99,3.7,3414
4.99,4.2,3414
39.99,1.5,40872
39.99,2.8,40872
89.98,6.5,5942
18.99,3.7,3414
22.99,3.9,5940
69.98,3.6,3414
22.99,3.3,2583
39.99,3.5,3027
58.98,3.1,3651
58.98,3.1,3414
22.99,3.9,3414
58.98,2.8,3027
22.99,3.9,2984
22.99,3.9,2984
22.99,3.9,3414
58.98,3.1,3414
22.99,3.9,3651
4.99,4.2,2275
18.99,4.5,88338
22.99,3.9,3414
4.99,4.2,2715
22.99,3.9,3414
58.98,3.8,3414
22.99,3.9,3414
69.98,5.3,3414
49.99,4.2,3414
39.99,3.5,2275
22.99,3.9,2715
22.99,3.9,3414
58.98,3.1,3414
39.99,3.5,2275
39.99,2.1,40872
58.98,7.7,88338
49.99,6.4,4689
22.99,3.9,3651
22.99,3.9,3414
22.99,3.9,3414
69.98,5.3,2275
69.98,3.6,2715
58.98,3.1,88338
22.99,3.9,3414
22.99,3.9,3414
49.99,4.5,2984
58.98,3.6,88338
69.98,5.3,2639
18.99,4.5,88338
58.98,3.1,3414
39.99,3.5,2275
22.99,3.9,3414
69.98,5.3,2275
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,3414
39.99,3.5,2275
22.99,3.9,3414
39.99,1.5,40872
58.98,3.6,88338
58.98,3.6,88338
58.98,3.6,88338
18.99,4.5,88338
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,3414
4.99,4.2,3414
22.99,3.9,2715
39.99,1.1,1190
22.99,3.9,2715
58.98,3.1,2275
39.99,3.5,2275
4.99,4.2,2275
22.99,3.5,3027
22.99,3.9,3414
22.99,3.9,3414
58.98,3.1,2275
39.99,3.5,2275
39.99,3.5,3027
69.98,5.3,40872
49.99,4.5,2984
18.99,4.5,88338
39.99,3.5,2275
22.99,3.5,3027
49.99,4.2,3414
22.99,3.5,3414
69.98,4.4,5942
58.98,2.3,88338
18.99,2.2,88338
22.99,3.9,3414
69.98,3.6,3414
22.99,3.9,2715
22.99,3.9,2715
39.99,1.6,40872
18.99,3.7,88338
58.98,3.1,88338
39.99,3.6,40872
22.99,3.9,3414
69.98,5.3,3414
22.99,3.9,2715
49.99,4.2,2715
18.99,3.7,2275
58.98,3.6,2275
39.99,3.5,2275
69.98,5.3,2275
58.98,3.1,2275
22.99,3.9,3414
39.99,3.5,2639
39.99,1.5,40872
39.99,3.5,3027
22.99,3.5,2275
22.99,3.9,3414
39.99,3.5,2275
18.99,3.7,88338
58.98,2.3,88338
22.99,3.9,2715
39.99,3.5,2275
39.99,3.5,2275
58.98,2.3,88338
22.99,3.9,3414
39.99,1.6,40872
22.99,3.9,3414
58.98,3.1,2275
22.99,3.5,2639
39.99,1.6,40872
22.99,3.9,2715
58.98,3.1,2275
39.99,1.1,1190
18.99,3.7,88338
22.99,3.5,2275
22.99,3.5,3027
39.99,1.1,40872
69.98,5.3,40872
22.99,3.9,2715
18.99,2.3,88338
18.99,3.7,2275
39.99,3.5,2275
39.99,3.5,2275
49.99,4.2,2275
22.99,3.9,3414
69.98,5.3,2275
22.99,3.9,3414
69.98,5.3,40872
58.98,3.1,2275
39.99,3.5,3027
39.99,3.6,40872
22.99,3.9,2715
22.99,3.9,2715
22.99,3.9,2715
22.99,3.9,2715
39.99,3.5,2639
22.99,3.5,2275
69.98,5.3,2275
18.99,2.3,88338
39.99,3.5,2275
39.99,3.5,2275
58.98,2.3,88338
39.99,1.5,40872
39.99,2.1,40872
58.98,3.1,2275
39.99,3.5,2275
39.99,3.5,2275
39.99,3.5,2275
39.99,3.5,2275
18.99,2.2,88338
39.99,3.5,2275
39.99,3.5,2275
22.99,3.9,3414
18.99,4.5,88338
22.99,3.9,2715
39.99,3.5,2275
39.99,3.5,2275
39.99,1.1,40872
22.99,3.9,2715
58.98,3.5,88338
22.99,3.5,2275
58.98,3.1,2275
18.99,2.3,88338
39.99,1.5,40872
39.99,1.5,40872
39.99,3.5,2275
39.99,3.5,2275
39.99,3.5,2275
39.99,3.5,2275
39.99,3.5,2275
58.98,2.3,88338
39.99,3.5,2275
39.99,3.5,2275
18.99,2.3,88338
18.99,4.5,88338
18.99,2.2,88338
39.99,1.5,40872
39.99,1.6,40872
39.99,2.1,40872
22.99,3.9,2715
18.99,2.2,88338
18.99,2.2,88338
22.99,3.5,3027
39.99,3.5,2275
18.99,2.3,88338
22.99,3.9,3414
39.99,3.5,2275
39.99,1.1,40872
39.99,1.6,40872
39.99,1.6,40872
39.99,1.5,40872
39.99,3.5,2275
22.99,3.9,2275
58.98,2.3,88338
39.99,1.1,40872
22.99,3.9,2715
39.99,2.1,40872
18.99,2,88338
39.99,1.1,40872
39.99,1.5,40872
39.99,3.6,40872
18.99,2.2,88338
39.99,1.5,40872
39.99,3.5,2275
58.98,3.1,2275
22.99,3.9,2984
39.99,3.5,2275
39.99,2.1,40872
22.99,3.5,2275
39.99,2.1,40872
39.99,3.5,2275
39.99,1.1,40872
18.99,1.5,88338
18.99,1.5,88338
18.99,1.5,88338
39.99,1.1,40872
39.99,1.6,40872
39.99,1.5,40872
39.99,2.1,40872
39.99,3.5,2275
39.99,1.5,40872
39.99,1.5,40872
39.99,1.1,40872
22.99,3.5,2275
39.99,3.5,2275
39.99,1.5,40872
39.99,2.1,40872
39.99,1.5,40872
39.99,1.5,40872
22.99,3.5,2275
39.99,1.5,40872
18.99,1.5,88338
39.99,1.1,40872
39.99,1.6,40872
39.99,1.5,40872
39.99,1.1,40872
39.99,1.5,40872
39.99,1.1,1190
39.99,3.6,40872
18.99,2.2,88338
39.99,1.6,40872
39.99,2.1,40872
39.99,1.1,664
39.99,1.5,40872
39.99,1.5,40872
39.99,1.5,40872
18.99,1.5,88338
39.99,1.1,40872
39.99,1.5,40872
39.99,1.5,40872
39.99,1.5,40872
18.99,2.2,88338
39.99,1.5,40872
39.99,2.1,40872
18.99,1.5,88338
39.99,1.1,40872
39.99,1.1,40872
39.99,1.5,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.5,40872
39.99,1.1,40872
39.99,1.5,40872
18.99,1.5,88338
39.99,1.5,40872
39.99,1.5,40872
39.99,1.5,40872
39.99,1.5,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.1,31500
39.99,1.5,40872
39.99,1.1,40872
18.99,1.5,88338
39.99,1.5,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.5,40872
39.99,1.5,40872
39.99,1.1,40872
39.99,1.5,40872
39.99,1.1,907
39.99,1.1,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.5,40872
18.99,1.5,88338
39.99,1.1,907
39.99,1.1,907
